Stock #,Availability,Shape,Weight,Clarity,Color,Fancy Color,Fancy Color Intensity,Fancy Color Overtone,Price,Total Price,Discount Percent,Image Link,Image Link 2,Image Link 3,Image Link 4,Image Link 5,Image Link 6,Video Link,Cut Grade,Polish,Symmetry,Depth Percent,Table Percent,Fluorescence Intensity,Fluorescence Color,Lab,Certificate #,Certificate Url,Cert Comment,Culet Condition,Culet Size,Girdle Percent,Girdle Condition,Girdle Thick,Girdle Thin,Measurements,Measurements Depth,Measurements Length,Measurements Width,Milky,Pavilion Depth,BGM,Crown Height,Crown Angle,Pavilion Angle,Laser Inscription,Member Comments,Pair,H&A,City,State,Country,Stock Number for Matching Pair,Share Access,Eye Clean,Featured,Table Open,Crown Open,Girdle Open,Star Length,Type,Tinge,Luster,Black Inclusion,Location of Black,Table Inclusion,Key To Symbol,Surface Graining,Internal Graining,Inclusion Pattern,Diamond Origin Report,Short Title,Arrival Date,Growth Type
,Yes,Asscher,"5,00",VS2,G,,,,"2117,50","10587,50",,,,,,,,https://03368bc.netsolhost.com/videos/vision360.html?d=LHQ08E-1,-,EX,EX,"68,50","66,50",,,IGI,532251634,,,,,,,,,,9.29,9.27,6.35,,,,,,,,,,,,,USA,,,,,,,,,,,,,,,,,,,,,,HPHT
,Yes,Asscher,"3,59",SI1,G,,,,"900,00","3231,00",,,,,,,,https://mediassests.s3.amazonaws.com/V360/Vision360.html?d=LGB61A-6,-,EX,EX,"65,70","67,50",,,IGI,497170467,,,,,,,,,,8.51,8.49,5.58,,,,,,,,,,,,,USA,,,,,,,,,,,,,,,,,,,,,,HPHT
,Yes,Asscher,"3,44",VS1,I,,,,"935,00","3216,40",,,,,,,,https://mediassests.s3.amazonaws.com/V360/Vision360.html?d=LGG14B-9,-,EX,EX,"68,40","65,00",,,GIA,1417346413,,,,,,,,,,8.27,8.25,5.64,,,,,,,,,,,,,USA,,,,,,,,,,,,,,,,,,,,,,HPHT
,Yes,Asscher,"3,22",VS2,I,,,,"775,00","2495,50",,,,,,,,https://mediassests.s3.amazonaws.com/V360/Vision360.html?d=LGH85B-5,-,EX,EX,"68,10","65,00",,,GIA,2394707700,,,,,,,,,,08.02,08.01,5.46,,,,,,,,,,,,,USA,,,,,,,,,,,,,,,,,,,,,,HPHT
,Yes,Asscher,"3,19",VVS2,G,,,,"1250,00","3987,50",,,,,,,,https://mediassests.s3.amazonaws.com/V360/Vision360.html?d=LGX37B-5,-,EX,EX,"69,60","62,00",,,GIA,2386370451,,,,,,,,,,8.15,8,5.57,,,,,,,,,,,,,USA,,,,,,,,,,,,,,,,,,,,,,HPHT
,Yes,Asscher,"3,13",VVS2,H,,,,"1075,00","3364,75",,,,,,,,https://mediassests.s3.amazonaws.com/V360/Vision360.html?d=LGB27B-6,-,VG,EX,"64,60","64,00",,,GIA,7382041481,,,,,,,,,,8.17,08.06,5.2,,,,,,,,,,,,,USA,,,,,,,,,,,,,,,,,,,,,,HPHT
,Yes,Asscher,"3,02",VVS2,G,,,,"1250,00","3775,00",,,,,,,,https://mediassests.s3.amazonaws.com/V360/Vision360.html?d=LGX37A-3,-,EX,VG,"66,30","59,00",,,GIA,6382370393,,,,,,,,,,08.03,7.76,5.14,,,,,,,,,,,,,USA,,,,,,,,,,,,,,,,,,,,,,HPHT
,Yes,Asscher,"3,00",VS1,H,,,,"1000,00","3000,00",,,,,,,,https://mediassests.s3.amazonaws.com/V360/Vision360.html?d=LGB24F-1,-,EX,VG,"64,20","69,00",,,GIA,2215712503,,,,,,,,,,7.98,7.82,05.02,,,,,,,,,,,,,USA,,,,,,,,,,,,,,,,,,,,,,HPHT
,Yes,Asscher,"2,82",SI1,D,,,,"981,50","2767,83",,,,,,,,https://mediassests.s3.amazonaws.com/V360/Vision360.html?d=LGL53B-3,-,EX,EX,"69,10","64,00",,,GIA,6392478946,,,,,,,,,,7.63,7.62,5.27,,,,,,,,,,,,,USA,,,,,,,,,,,,,,,,,,,,,,HPHT
,Yes,Asscher,"2,61",VS1,F,,,,"1062,50","2773,13",,,,,,,,https://03368bc.netsolhost.com/videos/vision360.html?d=LKB04L-7,-,EX,EX,"68,20","66,00",,,GIA,6432614423,,,,,,,,,,7.66,7.6,5.18,,,,,,,,,,,,,USA,,,,,,,,,,,,,,,,,,,,,,HPHT
