Stock #,Availability,Shape,Weight,Clarity,Color,Fancy Color,Fancy Color Intensity,Fancy Color Overtone,Price,Total Price,Discount Percent,Image Link,Image Link 2,Image Link 3,Image Link 4,Image Link 5,Image Link 6,Video Link,Cut Grade,Polish,Symmetry,Depth Percent,Table Percent,Fluorescence Intensity,Fluorescence Color,Lab,Certificate #,Certificate Url,Cert Comment,Culet Condition,Culet Size,Girdle Percent,Girdle Condition,Girdle Thick,Girdle Thin,Measurements,Measurements Depth,Measurements Length,Measurements Width,Milky,Pavilion Depth,BGM,Crown Height,Crown Angle,Pavilion Angle,Laser Inscription,Member Comments,Pair,H&A,City,State,Country,Stock Number for Matching Pair,Share Access,Eye Clean,Featured,Table Open,Crown Open,Girdle Open,Star Length,Type,Tinge,Luster,Black Inclusion,Location of Black,Table Inclusion,Key To Symbol,Surface Graining,Internal Graining,Inclusion Pattern,Diamond Origin Report,Short Title,Arrival Date,Growth Type
,Yes,Marquise,"0,3",SI1,E,,,,500,150,,,,,,,,https://mediassests.s3.amazonaws.com/V360/Vision360.html?d=ZAA74A-2,VG,VG,VG,"65,2",54,,,GCAL,321920263,,,,,,,,,,07.12,3.41,2.22,,,,,,,,,,,,,USA,,,,,,,,,,,,,,,,,,,,,,HPHT
,Yes,Round,"0,3",VS1,G,,,,500,150,,,,,,,,https://mediassests.s3.amazonaws.com/V360/Vision360.html?d=ZAA45A-2,ID,EX,EX,"60,8",57,,,GCAL,321920253,,,,,,,,,,4.35,4.38,2.65,,,,,,,,,,,,,USA,,,,,,,,,,,,,,,,,,,,,,HPHT
,Yes,Oval,"0,3",VS2,F,,,,500,150,,,,,,,,https://mediassests.s3.amazonaws.com/V360/Vision360.html?d=ZAA72A-3,VG,VG,GD,"60,8",56,,,GCAL,321990322,,,,,,,,,,5.37,3.86,2.35,,,,,,,,,,,,,USA,,,,,,,,,,,,,,,,,,,,,,HPHT
,Yes,Pear,"0,3",SI2,G,,,,500,150,,,,,,,,https://mediassests.s3.amazonaws.com/V360/Vision360.html?d=ZAA11A-2,VG,EX,VG,"64,3",60,,,GCAL,322070023,,,,,,,,,,6.19,3.65,2.35,,,,,,,,,,,,,USA,,,,,,,,,,,,,,,,,,,,,,HPHT
,Yes,Marquise,"0,3",SI2,I,,,,500,150,,,,,,,,https://mediassests.s3.amazonaws.com/V360/Vision360.html?d=ZAA08A-3,G,GD,FRIR,"66,7",58,,,GCAL,322070028,,,,,,,,,,07.06,3.33,2.22,,,,,,,,,,,,,USA,,,,,,,,,,,,,,,,,,,,,,HPHT
,Yes,Emerald,"0,3",VS2,G,,,,500,150,,,,,,,,https://03368bc.netsolhost.com/videos/vision360.html?d=ZAA37A-200,VG,VG,VG,"69,5",60,,,GCAL,321800054,,,,,,,,,,4.52,3.19,2.22,,,,,,,,,,,,,USA,,,,,,,,,,,,,,,,,,,,,,HPHT
,Yes,Marquise,"0,3",SI1,G,,,,500,150,,,,,,,,https://03368bc.netsolhost.com/videos/vision360.html?d=ZAA50A-4,VG,GD,GD,"59,1",60,,,GCAL,321800049,,,,,,,,,,7.56,3.48,02.05,,,,,,,,,,,,,USA,,,,,,,,,,,,,,,,,,,,,,HPHT
,Yes,Oval,"0,3",VS2,G,,,,500,150,,,,,,,,https://03368bc.netsolhost.com/videos/vision360.html?d=ZAA54A-200,VG,VG,GD,60,63,,,GCAL,321800031,,,,,,,,,,5.50,3.73,2.24,,,,,,,,,,,,,USA,,,,,,,,,,,,,,,,,,,,,,HPHT
,Yes,Marquise,"0,3",VS1,E,,,,500,150,,,,,,,,-,-,VG,VG,"62,4",59,,,IGI,532251716,,,,,,,,,,7.27,3.43,2.14,,,,,,,,,,,,,USA,,,,,,,,,,,,,,,,,,,,,,HPHT
,Yes,Round,"0,3",I1,F,,,,500,150,,,,,,,,https://mediassests.s3.amazonaws.com/V360/Vision360.html?d=ZAA72A-2,VG,EX,VG,"61,2",59,,,GCAL,322140709,,,,,,,,,,4.3,4.32,2.64,,,,,,,,,,,,,USA,,,,,,,,,,,,,,,,,,,,,,HPHT
